Episode Number,Scene Number,Scene Description
1X03,Scene 11,"LAKE OKOBOGEE, IA CAMPSITE 53"
1X03,Scene 12,SHERIFF'S OFFICE
1X03,Scene 13,DARLENE MORRIS' HOUSE
1X03,Scene 14,LAKE OKOBOGEE. NATIONAL PARK
1X03,Scene 15,SIOUX CITY HOSPITAL
1X03,Scene 16,
1X04,Scene 1,"NEW JERSEY, 1947"
1X04,Scene 2,
1X04,Scene 3,FBI HEADQUARTERS WASHINGTON D.C.
1X04,Scene 4,ATLANTIC CITY MORGUE
1X04,Scene 5,OUTSIDE
1X04,Scene 6,CASINO
1X04,Scene 7,NEW JERSEY STATE PARK
1X04,Scene 8,"SCULLY'S GOD-SON'S BIRTHDAY PARTY, D.C."
1X04,Scene 9,
1X04,Scene 10,OUTSKIRTS OF ATLANTIC CITY 6:47 P.M.
1X04,Scene 11,ALLEYWAY
1X04,Scene 12,ATLANTIC CITY POLICE DEPARTMENT
1X04,Scene 13,FBI HEADQUARTERS WASHINGTON D.C.
1X04,Scene 14,ATLANTIC CITY
1X04,Scene 15,A RESTAURANT IN ATLANTIC CITY
1X04,Scene 16,UNIVERSITY OF MARYLAND
1X04,Scene 17,FBI HEADQUARTERS WASHINGTON D.C. X-FILES OFFICE
1X04,Scene 18,
1X04,Scene 19,ATLANTIC CITY MORGUE
1X04,Scene 20,ALLEYWAY
1X04,Scene 21,OUTSIDE BUILDING
1X04,Scene 22,NEW JERSEY STATE PARK
1X04,Scene 23,FBI HEADQUARTERS WASHINGTON D.C. X-FILES OFFICE ONE WEEK LATER
1X04,Scene 24,NEW JERSEY STATE PARK
1X05,Scene 1,"HTG INDUSTRIAL TECHNOLOGIES PHILADELPHIA, PA HOWARD GRAVES' OFFICE"
1X05,Scene 2,NIGHT - ATM MACHINE
1X05,Scene 3,TWO HOURS LATER
1X05,Scene 4,"BETHESDA NAVAL HOSPITAL BETHESDA, MD"
1X05,Scene 5,HALLWAY
1X05,Scene 6,HTG INDUSTRIAL TECHNOLOGIES - NEXT MORNING
1X05,Scene 7,DORLAND'S OFFICE
1X05,Scene 8,"FBI HEADQUARTERS WASHINGTON, DC"
1X05,Scene 9,BROAD STREET - PHILADELPHIA
1X05,Scene 10,FBI OFFICE
1X05,Scene 11,LAUREN KYTE'S HOUSE
1X05,Scene 12,OUTSIDE
1X05,Scene 13,GARAGE
1X05,Scene 14,HTG INDUSTRIAL TECHNOLOGIES
1X05,Scene 15,FBI HEADQUARTERS
1X05,Scene 16,CEMETERY - DAY
1X05,Scene 17,DARKROOM
1X05,Scene 18,SCULLY'S APARTMENT
1X05,Scene 19,CRIME LAB
1X05,Scene 20,LAUREN KYTE'S HOUSE - NIGHT
1X05,Scene 21,"NATIONAL BUREAU OF MEDICAL EXAMINERS PHILADELPHIA, PA"
1X05,Scene 22,ELLEN BLEDSOE'S OFFICE
1X05,Scene 23,UNIVERSITY OF PENNSYLVANIA HOSPITAL
1X05,Scene 24,"HTG INDUSTRIAL TECHNOLOGIES PHILADELPHIA, PA"
1X05,Scene 25,HOWARD GRAVES' OFFICE
1X05,Scene 26,UNIVERSITY OF PA OFFICE
1X05,Scene 27,LAUREN KYTE'S HOUSE
1X05,Scene 28,INTERROGATION ROOM
1X05,Scene 29,INTERROGATION ROOM
1X05,Scene 30,STAIRCASE
1X05,Scene 31,HTG INDUSTRIAL TECHNOLOGIES
1X05,Scene 32,DORLAND'S OFFICE
1X05,Scene 33,LAUREN KYTE'S HOUSE
1X05,Scene 34,LAUREN'S NEW WORKPLACE
1X06,Scene 1,"EURISKO WORLD HEADQUARTERS CRYSTAL CITY, VA"
1X06,Scene 2,"FBI HEADQUARTERS WASHINGTON, D.C."
1X06,Scene 3,X-FILES OFFICE
1X06,Scene 4,EURISKO WORLD HEADQUARTERS
1X06,Scene 5,DRAKE'S EXECUTIVE BATHROOM
1X06,Scene 6,"FBI HEADQURTERS WASHINGTON, D.C."
1X06,Scene 7,CONFERENCE ROOM
1X06,Scene 8,FBI BUILDING
1X06,Scene 9,WILCZEK'S COUNTRY CLUB HOUSE
1X06,Scene 10,SCULLY'S APARTMENT
1X06,Scene 11,X-FILES OFFICE
1X06,Scene 12,WILCZEK'S HOUSE
1X06,Scene 13,EURISKO BUILDING
1X06,Scene 14,X-FILES OFFICE
1X06,Scene 15,WILCZEK'S HOUSE
1X06,Scene 16,PARK BENCH
1X06,Scene 17,"FEDERAL DETENTION CENTER WASHINGTON, D.C."
1X06,Scene 18,OUTSIDE FBI BUILDING
1X06,Scene 19,FEDERAL DETENTION CENTER
1X06,Scene 20,SCULLY'S BEDROOM
1X06,Scene 21,OUTSIDE EURISKO BUILDING NIGHT
1X06,Scene 22,STAIRWELL
1X06,Scene 23,PARK
1X06,Scene 24,DOD LAB
1X07,Scene 1,"ARCTIC ICE CORE PROJECT; ICY CAPE, ALASKA; 250 MILES NORTH OF THE ARCTIC CIRCLE"
1X07,Scene 2,FBI HEADQUARTERS
1X07,Scene 3,"DOOLITTLE AIRFIELD; NOME, ALASKA"
1X07,Scene 4,"ARCTIC ICE CORE PROJECT; ICY CAPE, ALASKA"
1X07,Scene 5,"DOOLITTLE AIRFIELD; NOME, ALASKA"
1X08,Scene 1,"JET PROPULSION LABORATORY PASADENA, CALIFORNIA 1977"
1X08,Scene 2,"SHUTTLE SPACE CENTER CAPE CANAVERAL, FL PRESENT DAY"
1X08,Scene 3,HOUSTON MISSION CONTROL
1X08,Scene 4,WASHINGTON DC TWO WEEKS LATER
1X08,Scene 5,HOUSTON SPACE CENTER NEXT DAY
1X08,Scene 6,SHUTTLE LAUNCH CONTROL
1X08,Scene 7,
1X08,Scene 8,WET ROAD
1X08,Scene 9,HOUSTON MISSION CONTROL ROOM
1X08,Scene 10,DATA BANK ROOM
1X08,Scene 11,MISSION CONTROL ROOM
1X08,Scene 12,NASA PRESS CONFERENCE
1X08,Scene 13,BELT'S APARTMENT
1X08,Scene 14,SHUTTLE ORBITER PASSING OVER CANADA
1X08,Scene 15,HOUSTON MISSION CONTROL
1X08,Scene 16,HALLWAY
1X08,Scene 17,HOUSTON MISSION CONTROL
1X08,Scene 18,HALLWAY
1X08,Scene 19,COMPUTER ROOM
1X08,Scene 20,MISSION CONTROL
1X08,Scene 21,FILE ROOM
1X08,Scene 22,BELT'S OFFICE
1X08,Scene 23,MISSION CONTROL
1X08,Scene 24,HALLWAY
1X08,Scene 25,Mission Control
1X08,Scene 26,"KIRTLAND AIR BASE ALBEQUERQUE, NM"
1X08,Scene 27,MISSION CONTROL
1X08,Scene 28,PRESS CONFERENCE
1X08,Scene 29,"X-FILES OFFICE WASHINGTON, DC"
1X08,Scene 30,MILITARY FUNERAL
1X09,Scene 1,"TOWNSEND, WI 12:57 AM DAY 1"
1X09,Scene 2,"US SPACE SURVEILLANCE CENTER CHEYENNE MOUNTAIN, CO"
1X09,Scene 3,
1X09,Scene 4,
1X09,Scene 5,"Mulder seen running through woods<b>: </b>wearing backpack. Approaches ""laser"" fence Walks around what is obviously military campsight. Helicopter flies overhead, large trucks check in at main gate. Military men all around."
1X09,Scene 6,OPERATION FALCON FIELD HEADQUARTERS
1X09,Scene 7,
1X09,Scene 8,
1X09,Scene 9,
1X09,Scene 10,
1X09,Scene 11,
1X09,Scene 12,
1X09,Scene 13,
1X09,Scene 14,MILLS ROAD HIGH SCHOOL EMERGENCY EVACUATION CENTER 6:27 PM DAY 2
1X09,Scene 15,US MICROWAVE SUBSTATION B21
1X09,Scene 16,"COUNTY HOSPITAL TOWNSEND, WI 11:42 PM"
1X09,Scene 17,[Hospital PA: Code Five. All available teams and nonessential...fades out]
1X09,Scene 18,
1X09,Scene 19,
1X09,Scene 20,
1X09,Scene 21,"US SPACE SURVEILLANCE CENTER CHEYENNE MOUNTAIN, CO"
1X09,Scene 22,
1X09,Scene 23,
1X09,Scene 24,
1X09,Scene 25,"LAKE MICHIGAN WATERFRONT, MI DOCK 7"
1X09,Scene 26,
1X09,Scene 27,
1X09,Scene 28,
1X09,Scene 29,
1X09,Scene 30,"FBI HEADQUARTERS WASHINGTON, DC"
1X09,Scene 31,
1X09,Scene 32,
1X09,Scene 33,
1X10,Scene 1,"GREENWICH, CONNECTICUT"
1X10,Scene 2,BACKYARD
1X10,Scene 3,FBI HEADQUARTERS
1X10,Scene 4,"FAIRFIELD COUNTY SOCIAL SERVICES HOSPITAL GREENWICH, CT"
1X10,Scene 5,TEENA'S ROOM
1X10,Scene 6,REARDON CRIME
1X10,"Scene - MARIN COUNTY, CALIFORNIA",
1X10,Scene 7,FAIRFIELD COUNTY SOCIAL SERVICES HOSTEL 12:35 AM E.S.T.
1X10,Scene 8,HALLWAY
1X10,Scene 9,REARDON HOUSE - NEXT DAY
1X10,Scene 10,REARDON HOUSE - LATER
1X10,Scene 11,OUTSIDE
1X10,Scene 12,CAR
1X10,Scene 13,LUTHER STAPES CENTER FOR REPRODUCTIVE MEDICINE
1X10,Scene 14,DOCTOR'S OFFICE
1X10,Scene 15,HOTEL ROOM
1X10,Scene 16,PIER
1X10,Scene 17,WHITING INSTITUTE FOR THE CRIMINALLY INSANE
1X10,Scene 18,INSIDE
1X10,Scene 19,LATER
1X10,Scene 20,INSIDE CELL
1X10,Scene 21,REARDON HOUSE
1X10,Scene 22,OUTSIDE HOUSE
1X10,Scene 23,CAR
1X10,Scene 24,CINDY'S ROOM
1X10,Scene 25,CAR
1X10,Scene 26,CINDY'S ROOM
1X10,Scene 27,CAR
1X10,Scene 28,OUTSIDE HOUSE
1X10,Scene 29,INSIDE HOUSE
1X10,Scene 30,OUTSIDE HOUSE
1X10,Scene 31,INSIDE HOUSE
1X10,Scene 32,OUTSIDE HOUSE
1X10,Scene 33,LATER
1X10,Scene 34,PT. REYES NATIONAL SEASHORE - 40 MILES NORTH OF SAN FRANCISCO
1X10,Scene 35,INSIDE
1X10,Scene 36,REARDON HOUSE
1X10,Scene 37,HOTEL
1X10,Scene 38,LATER
1X10,Scene 39,INSIDE
1X10,Scene 40,LATER
1X10,Scene 41,OUTSIDE
1X10,Scene 42,ROAD - NIGHT
1X10,Scene 43,TRUCK STOP
1X10,Scene 44,INSIDE
1X10,Scene 45,WOMAN'S RESTROOM
1X10,Scene 46,COUNTER
1X10,Scene 47,OUTSIDE
1X10,Scene 48,INSIDE
1X10,Scene 49,OUTSIDE
1X10,Scene 50,TRUCK STOP
1X10,Scene 51,OUTSIDE
1X10,Scene 52,REARDON HOUSE
1X10,Scene 53,CELLS
1X10,Scene 54,GUARD STATION
1X10,Scene 55,CELLS
1X11,Scene 1,"BOSHAM, ENGLAND 70 MILES SOUTHWEST OF LONDON"
1X11,Scene 2,"WASHINGTON, D.C."
1X11,Scene 3,X-FILES OFFICE FBI HEADQUARTERS
1X11,Scene 4,ARSON LAB FBI HEADQUARTERS
1X11,Scene 5,"CAPE COD, MASSACHUSETTS"
1X11,Scene 6,X-FILES OFFICE FBI HEADQUARTERS
1X11,Scene 7,"CAPE COD, MASSACHUSETTS"
1X11,Scene 8,"HENNESEY'S BAR CAPE COD, MASSACHUSETTS"
1X11,Scene 9,BOSTON MERCY HOSPITAL
1X11,Scene 10,"CAPE COD, MASSACHUSETTS"
1X11,Scene 11,"FBI HEADQUARTERS WASHINGTON, D.C."
1X11,Scene 12,"CAPE COD, MASSACHUSETTS"
1X11,Scene 13,ARSON LAB FBI HEADQUARTERS
1X11,Scene 14,"CAPE COD, MASSACHUSETTS"
1X11,Scene 15,FBI HEADQUARTERS
1X11,Scene 16,"BOSTON, MASSACHUSETTS"
1X11,Scene 17,VENABLE PLAZA HOTEL 5:16 P.M.
1X11,Scene 18,6:47 P.M.
1X11,Scene 19,"CAPE COD, MASSACHUSETTS"
1X11,Scene 20,X-FILES OFFICE FBI HEADQUARTERS
1X11,Scene 21,BOSTON MERCY HOSPITAL
1X12,Scene 1,"SCULLY'S HOUSE; WASHINGTON, D.C."
1X12,Scene 2,JACKSON UNIVERSITY; NORTH CAROLINA
1X12,Scene 3,"FBI HEADQUARTERS; WASHINGTON, D.C."
1X12,Scene 4,WILLIAM SCULLY'S FUNERAL
1X12,Scene 5,"CENTRAL PRISON; RALEIGH, NORTH CAROLINA"
1X12,Scene 6,NORTH CAROLINA
1X12,Scene 7,SCULLY'S MOTEL ROOM
1X12,Scene 8,"CENTRAL PRISON; RALEIGH, NORTH CAROLINA"
1X12,Scene 9,"BOATHOUSE; LAKE JORDAN, RALEIGH, CAROLINA"
1X12,Scene 10,"HOSPITAL; RALEIGH, NORTH CAROLINA"
1X12,Scene 11,ELIZABETH HAWLEY'S HOSPITAL BED
1X12,Scene 12,"CENTRAL PRISON; RALEIGH, NORTH CAROLINA"
1X12,Scene 13,"MULDER'S HOSPITAL BED; RALEIGH, NORTH CAROLINA"
1X12,Scene 14,"CENTRAL PRISON; RALEIGH, NORTH CAROLINA"
1X12,Scene 15,"BLUE DEVIL BREWERY FACTORY; MORRISVILLE, NORTH CAROLINA"
1X12,Scene 16,"CENTRAL PRISON; RALEIGH, NORTH CAROLINA"
1X12,Scene 17,"GAS CHAMBER; CENTRAL PRISON; RALEIGH, NORTH CAROLINA"
1X12,Scene 18,"MULDER'S HOSPITAL BED; RALEIGH, NORTH CAROLINA"
1X13,Scene 1,A DANCE CLUB
1X13,Scene 2,A HOTEL ROOM
1X13,Scene 3,CRIME
1X13,"Scene (THE HOTEL ROOM), GERMANTOWN, MARYLAND,
OUTSIDE WASHINGTON DC",
1X13,Scene 4,MULDER'S OFFICE
1X13,Scene 5,"STEVESTON, MASSACHUSETTS"
1X13,Scene 6,OUTSIDE STEVESTON
1X13,Scene 7,"A DANCE CLUB, THE SAME ONE AS IN THE TEASER"
1X13,Scene 8,NEAR THE KINDRED'S PROPERTY
1X13,Scene 9,STILL OUTSIDE THE BARN
1X13,Scene 10,THE DANCE CLUB
1X13,Scene 11,NEAR STEVESTON
1X13,Scene 12,A PARKED CAR
1X13,Scene 13,A HOSPITAL
1X13,Scene 14,A HOTEL ROOM
1X13,Scene 15,THE KINDRED PROPERTY NEAR STEVESTON
1X14,Scene 1,MARYLAND MARINE BANK 5:55 PM
1X14,Scene 2,
1X14,Scene 3,BETHESDA NAVAL HOSPITAL 12:51 AM TWO DAYS LATER
1X14,Scene 4,
1X14,Scene 5,
1X14,Scene 6,
1X14,Scene 7,UNIVERSITY OF MARYLAND DEPARTMENT OF BIOLOGY
1X14,Scene 8,
1X14,Scene 9,CRIME SCENE DESMOND ARMS RESIDENT HOTEL
1X14,Scene 10,
1X14,Scene 11,
1X14,Scene 12,
1X14,Scene 13,
1X14,Scene 14,
1X14,Scene 15,
1X14,Scene 16,"FBI HEADQUARTERS WASHINGTON, DC"
1X14,Scene 17,
1X14,Scene 18,
1X14,Scene 19,
1X14,Scene 20,"FBI HADQUARTERS WASHINGTON, DC"
1X14,Scene 21,
1X14,Scene 22,
1X15,Scene 1,"TASHMOO FEDERAL CORRECTION FACILITY PENNSYLVANIA, 1989"
1X15,Scene 2,"WASHINGTON, D.C.; PRESENT DAY"
1X15,Scene 3,CRIME LABS
1X15,Scene 4,REGGIE PURDUE'S OFFICE
1X15,Scene 5,"FBI HEADQUARTERS; WASHINGTON, D.C."
1X15,Scene 6,FOOTBALL FIELD
1X15,Scene 7,"FBI HEADQUARTERS; WASHINGTON, D.C."
1X15,Scene 8,COMPUTER LAB
1X15,Scene 9,TASHMOO FEDERAL CORRECTIONAL FACILITY
1X15,Scene 10,"FBI HEADQUARTERS; WASHINGTON, D.C."
1X15,Scene 11,AGENT REGGIE PURDUE'S HOUSE
1X15,Scene 12,CRIME LABS
1X15,Scene 13,"X-FILES OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
1X15,Scene 14,"NATIONAL INSTITUTES OF HEALTH; BETHESDA, MA"
1X15,Scene 15,COMPUTER LAB
1X15,Scene 16,"SCULLY'S APARTMENT; WASHINGTON, D.C."
1X15,Scene 17,GERTIE'S BAR
1X15,Scene 18,"SCULLY'S APARTMENT; WASHINGTON, D.C."
1X15,Scene 19,"X-FILES OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
1X15,Scene 20,"JANIE TAYLOR MEMORIAL RECITAL HALL; WASHINGTON, D.C."
1X15,Scene 21,HOSPITAL
1X16,Scene 1,THE SKIES OF IRAG; 37TH PARALLEL; PRESENT DAY
1X16,Scene 2,"HAKKARI, TURKEY; NATO SURVEILLANCE STATION; TURKEY/IRAQ BORDER"
1X16,Scene 3,"12:20 A.M. CENTRAL TIME; ROUTE 100; REAGAN, TENNESSEE"
1X16,Scene 4,"ROUTE 100; REAGAN, TENNESSEE"
1X16,Scene 5,"POLICE STATION; LEXINGTON, TENNESSEE"
1X16,Scene 6,AIRPORT; TENNESSEE
1X16,Scene 7,"THE LONE GUNMEN’S OFFICE; WASHINGTON, D.C."
1X16,Scene 8,"X-FILES OFFICE; F.B.I. HEADQUARTERS; WASHINGTON, D.C."
1X16,Scene 9,"MULDER’S APARTMENT; WASHINGTON, D.C."
1X16,Scene 10,"LINCOLN MEMORIAL; WASHINGTON, D.C."
1X16,Scene 11,"X-FILES OFFICE; F.B.I. HEADQUARTERS; WASHINGTON, D.C."
1X16,Scene 12,"MULDER’S APARTMENT; WASHINGTON, D.C."
1X16,Scene 13,"SCULLY’S APARTMENT; WASHINGTON, D.C."
1X16,Scene 14,"8:30 A.M. EASTERN TIME; F.B.I. HEADQUARTERS; WASHINGTON, D.C."
1X16,Scene 15,"AN AQUARIUM; WASHINGTON, D.C."
1X16,Scene 16,"MULDER’S APARTMENT; WASHINGTON, D.C."
1X16,Scene 17,"STREET; WASHINGTON, D.C."
1X16,Scene 18,"9:16 A.M. EASTERN TIME; DULLES AIRPORT; WASHINGTON, D.C."
1X16,Scene 19,"STREET; WASHINGTON, D.C."
1X16,Scene 20,"11:30 A.M. PACIFIC TIME; MCCARRAN AIRPORT; LAS VEGAS, NEVADA"
1X16,Scene 21,6:30 P.M. PACIFIC TIME; JUNCTION OF HIGHWAYS 90 &amp; 283; WASHINGTON STATE
1X16,Scene 22,HOTEL ROOM; WASHINGTON STATE
1X16,Scene 23,"MATTAWA, WASHINGTON STATE"
1X16,Scene 24,"POWER PLANT; MATTAWA, WASHINGTON STATE"
1X17,Scene 1,"KENWOOD, TENNESSEE, 1983"
1X17,Scene 2,
1X17,Scene 3,"MIRACLE MINISTRY, KENWOOD TENNESSEE"
1X17,Scene 4,CEMETERY
1X17,Scene 5,DOWNTOWN
1X17,Scene 6,KENWOOD COUNTY COURTHOUSE
1X17,Scene 7,MOTEL ROOM
1X17,Scene 8,REVEREND HARTLEY RESIDENCE
1X17,Scene 9,MIRACLE MINISTRY TENT
1X17,Scene 10,KENWOOD COUNTY HOSPITAL
1X17,Scene 11,MORGUE
1X17,Scene 12,KENWOOD COUNTY JAIL
1X17,Scene 13,
1X17,Scene 14,KENWOOD COUNTY JAIL
1X17,Scene 15,COURTROOM
1X17,Scene 16,HARTLEY RESIDENCE
1X17,Scene 17,SCULLY'S ROOM
1X17,Scene 18,MORGUE
1X17,Scene 19,SHERIFF DANIELS' RESIDENCE
1X17,Scene 20,OUTSIDE MINISTRY TENT
1X18,Scene 1,"TWO MEDICINE RANCH, BROWNING, MONTANA"
1X18,Scene 2,
1X18,Scene 3,"TREGO INDIAN RESERVATION, NORTHWEST MONTANA"
1X18,Scene 4,
1X18,Scene 5,
1X18,Scene 6,"GROVE MEDICAL CLINIC, BROWNING, MONTANA"
1X18,Scene 7,
1X19,Scene 1,OLYMPIC NATIONAL FOREST; NORTHWEST WASHINGTON STATE; PRESENT DAY
1X19,Scene 2,"X-FILES OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
1X19,Scene 3,RANGER STATION; OLYMPIC NATIONAL FOREST; NORTHWEST WASHINGTON STATE
1X19,Scene 4,"HIGH CONTAINMENT FACILITY; WINTHROP, WASHINGTON"
1X20,Scene 1,"DRUID HILL SANITARIUM; BALTIMORE, MARYLAND"
1X20,Scene 2,"ASSISTANT DIRECTOR WALTER SKINNER'S OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
1X20,Scene 3,"COURT HEARING OF EUGENE VICTOR TOOMS; BALTIMORE, MARYLAND"
1X20,Scene 4,"BALTIMORE, MARYLAND"
1X20,Scene 5,"LYNNE ACRES RETIREMENT HOME; BALTIMORE, MARYLAND"
1X20,Scene 6,"RUXTON CHEMICAL PLANT; BALTIMORE, MARYLAND"
1X20,Scene 7,"BALTIMORE, MARYLAND"
1X20,Scene 8,"RUXTON CHEMICAL PLANT; BALTIMORE, MARYLAND"
1X20,Scene 9,"BALTIMORE, MARYLAND"
1X20,Scene 10,SMITHSONIAN INSTITUTE; FORENSIC ANTHROPOLOGY LAB
1X20,Scene 11,MULDER’S CAR
1X20,Scene 12,MULDER’S APARTMENT
1X20,Scene 13,"HOSPITAL; BALTIMORE, MARYLAND"
1X20,Scene 14,MULDER’S APARTMENT
1X20,Scene 15,"ASSISTANT DIRECTOR SKINNER'S OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
1X20,Scene 16,SMITHSONIAN INSTITUTE; FORENSIC ANTHROPOLOGY LAB
1X20,Scene 17,"THE GREEN HOUSE; BALTIMORE, MARYLAND"
1X20,Scene 18,66 EXETER STREET; BALTIMORE
1X20,Scene 19,"ASSISTANT DIRECTOR SKINNER'S OFFICE; FBI HEADQUARTERS; WASHINGTON, D.C."
1X20,Scene 20,"BALTIMORE, MARYLAND"
1X21,Scene 1,"14TH PRECINCT HOUSE, BUFFALO, NEW YORK"
1X21,Scene 2,
1X21,Scene 3,"BRYLIN PSYCHIATRIC HOSPITAL, BUFFALO, NEW YORK"
1X21,Scene 4,"14TH PRECINCT HOUSE, BUFFALO, NEW YORK"
1X21,Scene 5,"FIORE RESIDENCE, KENMORE, NEW YORK"
1X21,Scene 6,"BUFFALO MUTUAL LIFE, MAIN OFFICE, BUFFALO, NEW YORK"
1X21,Scene 7,
1X21,Scene 8,"FBI REGIONAL HEADQUARTERS, BUFFALO, NEW YORK"
1X22,Scene 1,"MAHAN PROPULSION LABORATORY, WASHINGTON INSTITUTE OF TECHNOLOGY, COLSON, WASHINGON"
1X22,Scene 2,
1X22,Scene 3,"HERITAGE HALFWAY HOUSE, COLSON, WASHINGTON"
1X22,Scene 4,"FBI REGIONAL HEADQUARTERS, SEATTLE, WASHINGTON"
1X22,Scene 5,"MAHAN PROPULSON LABORATORY, BUILDING 214"
1X22,Scene 6,
1X22,Scene 7,
1X22,Scene 8,"AVALON FOUNDATION, WASHINGTON INSTITUTE OF TECHNOLOGY, COLSON, WASHINGTON"
1X22,Scene 9,MAHAN PROPULSION LABORATORY
1X22,Scene 10,"FBI REGIONAL HEADQUARTERS, SEATTLE, WASHINGTON"
1X23,Scene 1,"SHIPWORKS; ARLIS, MARYLAND"
1X23,Scene 2,"SUNDAY, MAY 8, 1994"
1X23,Scene 3,"FBI HEADQUARTERS; WASHINGTON, D.C."
1X23,Scene 4,"SHIPWORKS; ARLIS, MARYLAND"
1X23,Scene 5,IMPOUND
1X23,Scene 6,"FBI HEADQUARTERS; WASHINGTON, D.C."
1X23,Scene 7,"EMGEN CORPORATION; GAITHERSBURG, MARYLAND"
1X23,Scene 8,MULDER'S APARTMENT
1X23,Scene 9,"EMGEN CORPORATION; GAITHERSBURG, MARYLAND"
1X23,Scene 10,"SHIPWORKS; ARLIS, MARYLAND"
1X23,Scene 11,"EMGEN CORPORATION; GAITHERSBURG, MARYLAND"
1X23,Scene 12,6:30 P.M.
1X23,Scene 13,GEORGETOWN UNIVERSITY; MICROBIOLOGY DEPARTMENT
1X23,Scene 14,7:45 P.M.
1X23,Scene 15,MARYLAND
1X23,Scene 16,GEORGETOWN UNIVERSITY; MICROBIOLOGY DEPARTMENT
1X23,Scene 17,ZEUS STORAGE
1X23,Scene 18,GEORGETOWN UNIVERSITY; MICROBIOLOGY DEPARTMENT; 11:45 P.M.
1X23,Scene 19,ZEUS STORAGE
